ID;Date;User;Tweet;Source;Hashtags;RetweetCount;likeCount;;;;;;
14;2023-03-31 23:55:59+00:00;spyda247;@KadunaResident A d we will keep reminding you that we voted for Tinubu and he won the election and will be sworn in, at the May 29th 2023 inauguration as president of the Federal Republic Of Nigeria. Nothing will stop it from happening. Watch your HBP;Twitter for Android;;0;0;;;;;;
15;2023-03-31 23:55:34+00:00;wsdot_sw;Updated: Vehicle Fire on I-5 SB at MP 49 near Powell Road has right lane closed, use caution, beginning at 4:17 pm on March 31, 2023 until further notice.;WSDOT Southwest;;1;1;;;;;;
16;2023-03-31 23:55:07+00:00;Ayomiepat_;The month of April is settled, I am about the experience yet another beautiful month in 2023. It's my birth month 😊😊;Twitter for Android;;2;5;;;;;;
17;2023-03-31 23:54:45+00:00;selvynk;👍 on @YouTube: Lenten Caravan 2023 - Desperadoes Panyard, Tragarete Road, P.O.S. https://t.co/oedN0wZyRb;IFTTT;;0;0;;;;;;
18;2023-03-31 23:54:42+00:00;UkPropertyLion;#UKPLWestMidlands;;;;;;;;;;
;;;;;;;;;;;;;
TOTAL REDUCTION: £70000 (11.29%);;;;;;;;;;;;;
;;;;;;;;;;;;;
ADDRESS: Wolseley Road; Rugeley;;;;;;;;;;;;
;;;;;;;;;;;;;
STATUS: Reduced on 29/03/2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
INITIAL PRICE: £620000;;;;;;;;;;;;;
NEW PRICE: £620000 to £550000; Down: £70000 (11.29%);;;;;;;;;;;;
;;;;;;;;;;;;;
"https://t.co/xqpZZansSB""";PropertyLion;['UKPLWestMidlands'];0;0;;;;;;;;;
19;2023-03-31 23:54:20+00:00;RiceTennis;One more for the road in 2023.;;;;;;;;;;
;;;;;;;;;;;;;
📰 »  https://t.co/HVQbLCY8xJ;;;;;;;;;;;;;
;;;;;;;;;;;;;
"#GoOwls👐 x #RFND""";TweetDeck;['GoOwls', 'RFND'];1;2;;;;;;;;;
20;2023-03-31 23:54:03+00:00;UKELECTION2023;Another Tory that knows he would lose his seat jumping. #GeneralElectionNow;Twitter for Android;['GeneralElectionNow'];2;1;;;;;;
21;2023-03-31 23:53:17+00:00;Zurishaddai_1;When election is credible,the Government and the opposition will rest.When elections are rigged,even those not concerned or not interested in politics will not rest.;Twitter for Android;;0;0;;;;;;
22;2023-03-31 23:53:01+00:00;cryptox9551;@folmanart “Broken Bridges” https://t.co/tOItS73m59;Twitter for iPhone;;1;3;;;;;;
23;2023-03-31 23:52:03+00:00;Mustapha2393;Dear PDP supporters here in kebbi now as we all knew 15th april 2023 is a date schedule by INEC  to carry out it's supplementry election nation wide.;;;;;;;;;;
  Here in kebbi state we have 20LGA's ;142PU;  with the total registers voters of 96;319 while total voters collected is 94;"109. https://t.co/UcDOLBVh3V""";Twitter for Android;;0;0;;;;;
24;2023-03-31 23:51:29+00:00;UKELECTION2023;@benhabib6 All those fantastic global trade deals we had, that was better than a single country trying to get a deal...amazing what people are happy with now.;Twitter for Android;;0;0;;;;;;
25;2023-03-31 23:51:25+00:00;ELAST_CostaRica;Weverse_Choiin 🌟|| 29.03.2023;;;;;;;;;;
;;;;;;;;;;;;;
Queremos ver a Elring en Road to Max; jaja😉;;;;;;;;;;;;
;;;;;;;;;;;;;
"#ELAST #엘라스트 #CHOIIN https://t.co/V1dsZkyArW""";Twitter for iPhone;['ELAST', '엘라스트', 'CHOIIN'];0;2;;;;;;;;;
26;2023-03-31 23:51:23+00:00;HSimplezest;@mrlurvy If tinubu was so sure that nigerians will vote for him then why the manipulation? Why the rigging? Why do inec need to break it's own regulation for him to win? Why deploying thugs? See this 2023 election will has a lasting consequences that is i;Twitter for Android;;0;11;;;;;;
27;2023-03-31 23:50:39+00:00;2023Youths;Tinubu is stain on American according to Dr. Jeff;Twitter for Android;;0;0;;;;;;
28;2023-03-31 23:50:32+00:00;NWS_LSR_Bot;TORNADO  Mag: NA;;;;;;;;;;
From: WFO MEG;;;;;;;;;;;;;
Location: 3 W BROWNSVILLE; TN;;;;;;;;;;;;
Time: 0630 PM  LT on 03/31/2023;;;;;;;;;;;;;
Source: AMATEUR RADIO;;;;;;;;;;;;;
Remarks: One church was destroyed and several homes were damaged near the intersection of fulton road and evins road west of brownsville. ;;;;;;;;;;;;;
"#TNwx""";NWS LSR Bot;['TNwx'];0;0;;;;;;;;;
29;2023-03-31 23:50:31+00:00;lalluqa;So if one wants to say that 'this is election interference and state persecution', one wants to say that N citizens of a grand jury are politically persecuting him. GOP, do you still wanna win elections in NY? Bcs almost anyone can be part of a jury, and you offend people.😁;Twitter for Android;;0;0;;;;;;
30;2023-03-31 23:49:51+00:00;ACPN_NATIONAL;Members of the ACPN Kaduna Branch with the delegation from the National body in a group photograph.;;;;;;;;;;
;;;;;;;;;;;;;
The ACPN National delegation is being led by the National Chairman; Pharm. Adewale Oladigbolu; FPSN.;;;;;;;;;;;
;;;;;;;;;;;;;
Pharm. Kenneth Ede Ujah; MAW ;;;;;;;;;;;;
National Publicity Secretary; ;;;;;;;;;;;;
ACPN.;;;;;;;;;;;;;
"31.03.2023""";Twitter for Android;;0;0;;;;;;;;;
31;2023-03-31 23:49:32+00:00;ScottyMcArthur;@markusoff @JeremyAppel1025 @BarryMorishita @KCundal Yeah, that’s not likely;;;;;;;;;;
;;;;;;;;;;;;;
The AP / Greg Clark got support here in Elbow in 2 elections but think a lot of those voters see this as an existential 2 party election and are moving to NDP or (fewer) to UCP;;;;;;;;;;;;;
;;;;;;;;;;;;;
"Let’s get to a steady 2 party prov before expecting 3 viable parties""";Twitter for iPhone;;0;3;;;;;;;;;
32;2023-03-31 23:49:19+00:00;fox4kc;Starting this weekend, construction for the 2023 NFL Draft will bring road closures around Union Station. MAP: https://t.co/3END4dWFoi https://t.co/WGLLt7fWrz;TweetDeck;;2;6;;;;;;
33;2023-03-31 23:49:05+00:00;naijareel;Nigeria Elections 2023: Three front-runners race for the Presidential office | World News | WION;;;;;;;;;;
"https://t.co/JETpIBRCQS""";FS Poster 3;;0;0;;;;;;;;;
34;2023-03-31 23:49:03+00:00;noorrovers;@YousufNazar So amend your tweet and say a full court is required to declare ECP / Govt decision to delay election as void and ask ECP to conduct elections asap. Any other decision would be disastrous for rule of law. ;;;;;;;;;;
;;;;;;;;;;;;;
"there fixed it for u""";Twitter Web App;;0;0;;;;;;;;;
35;2023-03-31 23:48:27+00:00;DominionIsDeath;@JoeHill_Music @MHM5962 @TJDOGMANR2 @_KatDaBrat @TwinsBus @NickyK1776 @CL4WS_OUT @PAYthe_PIPER @2MeltonL @3Tony48 @Texas_jeep__guy @kagkj76 @Andrea_4711 @emma6USA @Rammie24 @bdonesem @ZekeGary2 @cornock60 @TonemanLives @twkrh8me11 @ArmandKleinX @emaga44 @;;;;;;;;;;
There is no limit to the number of votes Dominion can manipulate. Every  fraud technique from 2020 is still in play. ;;;;;;;;;;;;;
"I guess a comforting lie is better than a disquieting truth.""";Twitter for iPad;;0;0;;;;;;;;;
36;2023-03-31 23:48:13+00:00;MaricopaVote;The 2023 May Jurisdictional Election has officially started! Do you know someone who is registered in Tempe or Carefree and is currently overseas? Encourage them to visit https://t.co/ZtJxjHxMTg so they can #BeBallotReady for the Jurisdiction Election! https://t.co/jni4OdaBZg;Twitter Web App;['BeBallotReady'];2;3;;;;;;
37;2023-03-31 23:48:06+00:00;time4kind;. 𝗪𝗜 #𝗩𝗼𝘁𝗲𝗕𝗟𝗨𝗘 𝗝𝗮𝗻𝗲𝘁 𝗣𝗿𝗼𝘁𝗮𝘀𝗶𝗲𝘄𝗶𝗰𝘇 𝗔𝗽𝗿𝗶𝗹 𝟬𝟰. 2023 Wisconsin Supreme Court election to elect a justice to the Wisconsin Supreme Court for a 10-year term.           ;;;;;;;;;;
"         WI #VoteBLUE Janet Protasiewicz April 04. https://t.co/1oV4EJewxw""";Twitter Web App;['𝗩𝗼𝘁𝗲𝗕𝗟𝗨𝗘', 'VoteBLUE'];10;9;;;;;;;;;
38;2023-03-31 23:47:30+00:00;oyigyeibrahim;@AnkaDede @fkeyamo How can such  characters  win Elections  in Nigeria no b big brother naija ooo;Twitter Web App;;0;0;;;;;;
39;2023-03-31 23:46:24+00:00;GeoffBent;@mtgreenee Do you think you’re in Salem in the 1600s? This is 2023 and the legal case concerning former President Trump relates to charges of falsifying business records during a presidential election campaign #Trump #Grandjury #law #NewYork;Twitter for iPhone;['Trump', 'Grandjury', 'law', 'NewYork'];0;0;;;;;;
40;2023-03-31 23:46:14+00:00;GeorgeSanto_ish;@jojo24901 @RyanAFournier Is this the 2023 version of. “The 2020 election results won’t stick” 😂;Twitter for iPhone;;0;0;;;;;;
41;2023-03-31 23:45:30+00:00;DUCKY13579;WHAT A JOKE!!!! McCarthy and other repubs. are saying [with a straight face] that the NY attorney Bragg and others are indicting Trump to affect the upcoming elections. Trump and many of his allies tried to overturn the last election including an all out insurrection! Shutup!!!;Twitter Web App;;0;0;;;;;;
42;2023-03-31 23:45:27+00:00;GiftedH80167905;Symptoms of acute obidientitis, a mental disease discovered in Nigeria, SE, 2023.;Twitter for Android;;0;0;;;;;;
43;2023-03-31 23:45:27+00:00;PollyTix2023;More good news! 🥳;;;;;;;;;;
;;;;;;;;;;;;;
Fox News Loses Bid to Have Dominion Defamation Case Tossed;;;;;;;;;;;;;
;;;;;;;;;;;;;
A court ruled on Friday that the network made false statements about Dominion Voting Systems' role in the 2020 election;;;;;;;;;;;;;
" – Rolling Stone https://t.co/2BIWUPjEnK""";Twitter for iPhone;;0;7;;;;;;;;;
44;2023-03-31 23:45:24+00:00;nsoigb;@AmicableLewis @AnthonyEhilebo Why should he tag that him? Ok I don tag am @GovAyoFayose He worked for APC Rigging Machine in Lagos &amp;;;;;;;;;;
45;2023-03-31 23:45:07+00:00;MSpeeders;At 01/04/2023, 00:44:00 a driver seems to have been travelling at an average speed of 51 MPH in a 30mph area on Netherhampton Road #SpeederBot #Speeding;SalisburySpeederBot;['SpeederBot', 'Speeding'];0;0;;;;;;
46;2023-03-31 23:45:07+00:00;MSpeeders;At 01/04/2023, 00:44:00 a driver seems to have been travelling at an average speed of 48 MPH in a 30mph area on Netherhampton Road #SpeederBot #Speeding;SalisburySpeederBot;['SpeederBot', 'Speeding'];0;0;;;;;;
47;2023-03-31 23:45:06+00:00;MSpeeders;At 01/04/2023, 00:44:00 a driver seems to have been travelling at an average speed of 50 MPH in a 30mph area on Netherhampton Road #SpeederBot #Speeding;SalisburySpeederBot;['SpeederBot', 'Speeding'];0;0;;;;;;
48;2023-03-31 23:45:05+00:00;MSpeeders;At 01/04/2023, 00:44:00 a driver seems to have been travelling at an average speed of 49 MPH in a 30mph area on Netherhampton Road #SpeederBot #Speeding;SalisburySpeederBot;['SpeederBot', 'Speeding'];0;0;;;;;;
49;2023-03-31 23:45:05+00:00;MSpeeders;At 01/04/2023, 00:44:00 a driver seems to have been travelling at an average speed of 40 MPH in a 30mph area on Netherhampton Road #SpeederBot #Speeding;SalisburySpeederBot;['SpeederBot', 'Speeding'];0;0;;;;;;
50;2023-03-31 23:45:01+00:00;naija_loudmouth;PETITION: Universal Basic Income to reduce poverty in nigeria ugently needed! ;;;;;;;;;;
READ MORE HERE: https://t.co/P3DCBHtan0;;;;;;;;;;;;;
"nigeria inec tinubu elections IPOB atiku obasanjo peter obi datti lagos sanwo-olu labour apc pdp osun adeleke Poverty japa peti makinde oyo ondo ayu https://t.co/T1ZPAkyITz""";Microsoft Power Platform;;0;0;;;;;;;;;
51;2023-03-31 23:44:32+00:00;NWS_LSR_Bot;HAIL  Mag: E1.00 INCH ;;;;;;;;;;
From: WFO IWX;;;;;;;;;;;;;
Location: ELKHART; IN;;;;;;;;;;;;
Time: 0726 PM  LT on 03/31/2023;;;;;;;;;;;;;
Source: TRAINED SPOTTER;;;;;;;;;;;;;
Remarks: Quarter size hail reported at the intersection of county road 6 and us-19. ;;;;;;;;;;;;;
"#INwx""";NWS LSR Bot;['INwx'];0;0;;;;;;;;;
52;2023-03-31 23:44:03+00:00;DewberryMonica;@RpsAgainstTrump @EricTrump little darling please try and keep up with what is going on. This is 2023, just b/c your Dad pulled a clown move &amp;;;;;;;;;;
53;2023-03-31 23:43:15+00:00;LilyBlue53;-365 Days of VGM: 2023-;;;;;;;;;;
Day 88: Rotten Shotgun - Death Road to Canada;;;;;;;;;;;;;
;;;;;;;;;;;;;
A zombie apocalypse game inspired by Oregon Trail with a chiptune soundtrack. This one is a blast to play with friends since you can make custom characters who you can recruit!;;;;;;;;;;;;;
;;;;;;;;;;;;;
" https://t.co/F6NpytBSvR""";Twitter Web App;;0;0;;;;;;;;;
54;2023-03-31 23:43:06+00:00;PulteJrWilliam1;@_dinomelaye Twitter families am here to read your comments only. https://t.co/zSsSRpn4Vu;Twitter for Android;;0;0;;;;;;
55;2023-03-31 23:42:35+00:00;1222SW1222;I heart @LADYBUNNY77.;Twitter for iPhone;;0;2;;;;;;
56;2023-03-31 23:42:13+00:00;DominionIsDeath;@RyanAFournier They certainly stopped us in 2020. Has our election process magically been fixed since then? If not it is irresponsible to suggest a different outcome this time.  Anyone that believes your lie wii see no need to push for changes to our elec;Twitter for iPad;;0;1;;;;;;
57;2023-03-31 23:42:05+00:00;M_B_Bolinger;@TrooperRebel And dishonest and conniving.;;;;;;;;;;
;;;;;;;;;;;;;
For all their whining and bleating about election interference; they just love interfering in elections to the benefit of their candidates.;;;;;;;;;;;;
;;;;;;;;;;;;;
The left obviously thrust Trump to the general thinking they'd whip him;" but Orange Godzilla prevailed!""";Twitter Web App;;0;1;;;;;;;;
58;2023-03-31 23:41:25+00:00;trafficwarr;Swingbridge Alert;;;;;;;;;;
;;;;;;;;;;;;;
A5060 Chester Road Swingbridge will close to traffic in about 35 minutes; then A49 London Road and A50 Knutsford Road bridges.;;;;;;;;;;;;
;;;;;;;;;;;;;
This email was sent on April 01;" 2023 at 12:41AM""";IFTTT;;0;1;;;;;;;;
59;2023-03-31 23:41:22+00:00;MediaTalkAfrica;2023 Elections: PDP sets up committee to review South-South performance;;;;;;;;;;
"https://t.co/dCv2Dgm2ct""";Twitter Web App;;0;0;;;;;;;;;
60;2023-03-31 23:41:04+00:00;NancyAnnZCal;It’s April of 2023, ffs the election isn’t for a year and a half…just stop.;Twitter for iPhone;;0;0;;;;;;
61;2023-03-31 23:40:57+00:00;ProctorRobert;@Kriscilicious @rebekah_doyle @krassenstein I understand u don't value fair elections in which both parties compete by the same rules &amp;;;;;;;;;;
62;2023-03-31 23:40:55+00:00;chukwuma_all;@fkeyamo Fought against the military only to be a part and ardent supporter of tyrannical democracy. In ur dirty APC craziness, Nigeria has been so much polarised which you weaponise to win/rig elections. Governance according to who voted APC or not. It w;Twitter for iPhone;;0;0;;;;;;
63;2023-03-31 23:40:08+00:00;celeste43_;@LeftRightEA Weird coalitions in this election. But I forgot jill in her blowout win went even more sicko mode in Dane. Dane is even more liberal when it comes to SC/superintendent elections. I think just cause of turnout dynamics. How did she lose Racine;Twitter for iPhone;;0;1;;;;;;
64;2023-03-31 23:39:28+00:00;trump45_maga;Your side is losing winnable elections. Do you think we’d agree to this dumb ass proposal just because you can’t accept election results?;Twitter for iPhone;;0;7;;;;;;
65;2023-03-31 23:38:37+00:00;Barbara48283910;State Board of Elections ousts two Republican Surry County election board members https://t.co/y4PX8qYNDl;Twitter Web App;;5;9;;;;;;
66;2023-03-31 23:38:29+00:00;TBay_Bush_Baby;@liberal_party Since you are in my news feed....;;;;;;;;;;
Stop Elections Canada from putting the voting rolls in electronic format to be stored on a cloud!!!!   The USA has problems with this system!!;;;;;;;;;;;;;
;;;;;;;;;;;;;
"Stop election cheating!!!""";Twitter Web App;;0;1;;;;;;;;;
67;2023-03-31 23:38:28+00:00;random24061259;We will neither boycott the election nor support its postponement. If elections can be held in Afghanistan and Iraq, why can't they be held here!;;;;;;;;;;
Bilawal Bhutto Zardari; Chairman Pakistan Peoples Party;;;;;;;;;;;;
"https://t.co/kt2N6Ls4m2""";Twitter Web App;;0;0;;;;;;;;;
68;2023-03-31 23:38:07+00:00;bashbakura1;@abdulbaqee2 If not because of party influence that ganduje would get,he can’t win even a councilor.Remember Tambuwal is the only one that decamped from Apc to pdp and stand independently till he won his elections in 2019.;Twitter for iPhone;;1;1;;;;;;
69;2023-03-31 23:38:01+00:00;KalidoreW;"@Sue70241 @realTuckFrumper Yeah. That's the point. That criteria makes it SUPER easy for the SoS to declare a ""problem"" and require a new election. But it's not mandated. So while just about every election will qualify, they only need to redo the election";Twitter for Android;;0;5;;;;;;
70;2023-03-31 23:37:26+00:00;TBay_Bush_Baby;@theJagmeetSingh Since you are in my news feed....;;;;;;;;;;
Stop Elections Canada from putting the voting rolls in electronic format to be stored on a cloud!!!!   The USA has problems with this system!!;;;;;;;;;;;;;
;;;;;;;;;;;;;
"Stop election cheating!!!""";Twitter Web App;;0;0;;;;;;;;;
71;2023-03-31 23:36:51+00:00;willrun;Get-out-the-vote period is the most important time of the election cycle! So I just gave to support the @WisDems supercharge their field operations in these final 4 days before the most important election of 2023. Chip in to join me: https://t.co/woiHbo6HgP;Twitter for iPhone;;0;0;;;;;;
72;2023-03-31 23:36:32+00:00;SPlum1951;@statendd2023 tRump isn’t the President. It’s astounding that MAGAs don’t understand FACTS or how ELECTIONS work. Just because you can’t understand that tRump LIES to you daily, doesn’t make his LIES FACTUAL!!! tRump lost every challenge to the ;Twitter for iPhone;;0;0;;;;;;
73;2023-03-31 23:36:10+00:00;deaaronfoxfmvp;@joshyYRGxDEO @LakeShowYo Vampire fanbase every player that leaves gets better 💀;Twitter for iPhone;;0;0;;;;;;
74;2023-03-31 23:34:32+00:00;NWS_LSR_Bot;TORNADO  Mag: NA;;;;;;;;;;
From: WFO MEG;;;;;;;;;;;;;
Location: BROWNSVILLE; TN;;;;;;;;;;;;
Time: 0628 PM  LT on 03/31/2023;;;;;;;;;;;;;
Source: EMERGENCY MNGR;;;;;;;;;;;;;
Remarks: A roof was blown off a trailer on pepper lane in brownsville. some debris is on the road and in the trees. ;;;;;;;;;;;;;
"#TNwx""";NWS LSR Bot;['TNwx'];0;0;;;;;;;;;
75;2023-03-31 23:34:27+00:00;B_HarrisonPBR;💥PBR BOMB SQUAD💥;;;;;;;;;;
;;;;;;;;;;;;;
Ty Silva (@tysilva28);;;;;;;;;;;;;
2023 OF;;;;;;;;;;;;;
Shadow Ridge;;;;;;;;;;;;;
@USC_Baseball Signee;;;;;;;;;;;;;
;;;;;;;;;;;;;
The Future Games alum and future Trojan goes leaves no doubt with this shot to LCF for his 5th of the year to put the Mustangs up 2-0 in the 3rd #BeSeen;;;;;;;;;;;;;
;;;;;;;;;;;;;
"@ShooterHunt | @prepbaseball https://t.co/KAuAhnPk4M""";Twitter for iPhone;['BeSeen'];7;9;;;;;;;;;
76;2023-03-31 23:34:25+00:00;andrewrdn463;Chris Stone gone. A failure who trampled all over Liberal members. Lost too many elections. Candidates endorsed a few days before the election.  Not respected.;Twitter Web App;;1;3;;;;;;
77;2023-03-31 23:34:25+00:00;EtimEdet8;@mindset_tweet 2023 election petitions will expose judiciary a lot. They have to come hands clean and stand tall like iroko trees. ;;;;;;;;;;
All eyes on them . ;;;;;;;;;;;;;
Don't sell Nigeria for one greedy man;" for your selfish interest.""";Twitter for Android;;0;0;;;;;;;;
78;2023-03-31 23:33:57+00:00;FreedBird11;@DineshDSouza It is massive. And we want justice but justice is different for dems. This needs to change. It can't wait until the next election when we can't even trust the elections. Something has to be done now. Time to get down and dirty and go after t;Twitter Web App;;0;0;;;;;;
79;2023-03-31 23:33:51+00:00;CasaLucita;Get-out-the-vote period is the most important time of the election cycle! So I just gave to support the @WisDems supercharge their field operations in these final 4 days before the most important election of 2023. Chip in to join me: https://t.co/ptzuwSy4EL;Twitter for Android;;0;1;;;;;;
80;2023-03-31 23:33:48+00:00;fredrick_dash;@OgbeniDipo @saula_tobiloba I looked up to you as an academic symbol. @OgbeniDipo it's not about Lagos, this 2023 election will rub off on you as a dent for a long time. You stood against tribalism with a voice of a cat but before then you lost your credi;Twitter for iPhone;;0;6;;;;;;
81;2023-03-31 23:33:41+00:00;ProgressiveAme1;@codechode2000 @CollinRugg Why would any moderates want the right in charge? They claim wide spread voter fraud and a stolen election, yet when it comes to having evidence you have no evidence. It’s all a scheme from the alt right to create distrust in ;Twitter for iPhone;;0;2;;;;;;
82;2023-03-31 23:33:25+00:00;altleftutopian;Presidential elections will never work for Democrats. Even JFK had the Chicago mob rig the election for him to win. Republican or 3rd party are the only options for presidents chosen by the people. Voting Democrat is like throwing a vote away.;Twitter Web App;;0;0;;;;;;
83;2023-03-31 23:33:17+00:00;alexbaraza_;She was ahead of time. 2023 &amp;;;;;;;;;;
;;;;;;;;;;;;;
"II Susan II outering road II #AndrewKibe II Gov Wavinya II sakaja II Martha II #Raila https://t.co/LCv6FFGuKM""";Twitter Web App;['AndrewKibe', 'Raila'];0;4;;;;;;;;;
84;2023-03-31 23:32:39+00:00;Youthvoice2day;@fkeyamo Peter Obi is the rightful winner of the 2023 presidential election and she shall get his mandate back. Tinubu Swallowed nails which he must vomit.;Twitter for Android;;0;1;;;;;;
85;2023-03-31 23:32:39+00:00;WHLHitmen;The Calgary Hitmen open the 2023 #WHLPlayoffs presented by Nutrien tonight on the road in Red Deer against the Rebels. ;;;;;;;;;;
;;;;;;;;;;;;;
Get up to speed ahead of game one in our game preview ⬇️ #FeedingTheFuture;;;;;;;;;;;;;
;;;;;;;;;;;;;
"https://t.co/BUmxMuv7iC""";Twitter Web App;['WHLPlayoffs', 'FeedingTheFuture'];1;9;;;;;;;;;
86;2023-03-31 23:32:03+00:00;eduardowada;@Lukewearechange Biden's election was stolen, they will put Trump in jail and steal the elections again.;Twitter Web App;;0;0;;;;;;
87;2023-03-31 23:31:35+00:00;zenky117;In 2003, Peter Obi won the Anambra state governorship election &amp;;;;;;;;;;
;;;;;;;;;;;;;
In 2023; exactly 20 years later; Peter Obi won the presidential election &amp;;;;;;;;;;;
;;;;;;;;;;;;;
"⏰️ ⏰️ ⏰️""";Twitter for iPhone;;0;2;;;;;;;;;
88;2023-03-31 23:31:31+00:00;OsloCouncilman;Watch and share my Podcast: Nigeria Elections 2023, The Diaspora and the #Obidient Movement https://t.co/AdgKTyxTZ9 via @NFPJNig @PeterObiUSA;Twitter for iPhone;['Obidient'];43;44;;;;;;
89;2023-03-31 23:31:31+00:00;CodeofHonor51;@thereidout @JoyAnnReid @MichaelCohen212 Just listened to this video from Frank Speech if anyone ever doubted that the 2020 election &amp;;;;;;;;;;
;;;;;;;;;;;;;
Hillary thought she made friends with the right people and evidently she didn't;;;;;;;;;;;;;
;;;;;;;;;;;;;
"Special Live Event https://t.co/7m0JHqL9k6""";Twitter for Android;;0;0;;;;;;;;;
90;2023-03-31 23:31:29+00:00;JohnFer2023;@RepMattGaetz I'm a fan of DeSantis, but he needs to sit out the 2024 election and back, stump for Trump.;Twitter Web App;;0;0;;;;;;
91;2023-03-31 23:30:54+00:00;NewspotN;2023 Elections: PDP sets up committee to review South-South performance;;;;;;;;;;
"https://t.co/HdWoZxeUHt""";FS Poster 3;;0;0;;;;;;;;;
92;2023-03-31 23:30:21+00:00;GaniyuMaroof;01/04/2023;;;;;;;;;;
